orig_index,Unnamed: 0,paragraph_id,sentence_id,course,essay_new,annotated_sentence,full_error_tag,error_tag,correction,error,target,source,correction_index,new_error_type,final_evident_index,target_sentence,source_sentence,error_type,evidence_index,predicted_parsing_order,origin,orig_error_type,predicted_parsing_order_src
527,327,1216,f2631b286db0920720136d8b06bc5ef0a568088c9f223d3687d8df967416bb3e,SPA 2,Yo Me encuentro un novio.,Yo Me encuentro []{a}<az:io:an> un novio.,[]{a}<az:io:an>,az:io:an,a,,"['Yo', 'Me', 'encuentro', 'a', 'un', 'novio', '.']","['Yo', 'Me', 'encuentro', '[NONE]', 'un', 'novio', '.']","[3, 11]",article,"[0, 2, 4, 5, 8, 10, 12, 13]",Yo Me encuentro a un novio.,Yo Me encuentro [NONE] un novio.,article,"[0, 2, 4, 5, 8, 10, 12, 13]","{'2': 3, '3': 1, '4': 2, '10': 3, '11': 1, '12': 2}",A,article,"{'2': 3, '3': 1, '4': 2}"
298,61,213,5d05b83c7c2496c926dcbe94b86cda9a45301b66b85b46f58e06e81aa6d7ef65,SPA 3,tener éxito y siempre motivó King.,tener éxito y siempre motivó []{a}<az:do:an>  King.,[]{a}<az:do:an>,az:do:an,a,,"['tener', 'éxito', 'y', 'siempre', 'motivó', 'a', 'King', '.']","['tener', 'éxito', 'y', 'siempre', 'motivó', '[NONE]', 'King', '.']","[5, 14]",article,"[0, 4, 7, 9, 13, 16]",tener éxito y siempre motivó a King.,tener éxito y siempre motivó [NONE] King.,article,"[0, 4, 7, 9, 13, 16]","{'0': 3, '2': 3, '3': 3, '4': 2, '5': 1, '9': 3, '11': 3, '12': 3, '13': 2, '14': 1}",A,article,"{'0': 3, '2': 3, '3': 3, '4': 2, '5': 1}"
282,44,188,abaa1115943126daffbcc7829fc96a54cd4d72ea887096b1bdf1805ac6198df7,SPA 1,Barack Obama ama su esposa.,Barack Obama ama []{a}<az:do:an> su esposa.,[]{a}<az:do:an>,az:do:an,a,,"['Barack', 'Obama', 'ama', 'a', 'su', 'esposa', '.']","['Barack', 'Obama', 'ama', '[NONE]', 'su', 'esposa', '.']","[3, 11]",article,"[0, 1, 2, 4, 5, 8, 9, 10, 12, 13]",Barack Obama ama a su esposa.,Barack Obama ama [NONE] su esposa.,article,"[0, 1, 2, 4, 5, 8, 9, 10, 12, 13]","{'2': 3, '3': 1, '4': 2, '10': 3, '11': 1, '12': 2}",A,article,"{'2': 3, '3': 1, '4': 2}"
258,18,112,ec9b28700c3f0eb5069d1a2933862c8835fbb75244fa3b08619d75f7cf6713c9,SPA 3,Ojalá me conozca ella en la futura.,Ojalá me conozca []{a}<az:do:an> ella en la futura.,[]{a}<az:do:an>,az:do:an,a,,"['Ojalá', 'me', 'conozca', 'a', 'ella', 'en', 'la', 'futura', '.']","['Ojalá', 'me', 'conozca', '[NONE]', 'ella', 'en', 'la', 'futura', '.']","[3, 13]",article,"[0, 2, 5, 10, 12, 15]",Ojalá me conozca a ella en la futura.,Ojalá me conozca [NONE] ella en la futura.,article,"[0, 2, 5, 10, 12, 15]","{'0': 3, '1': 3, '2': 2, '3': 1, '6': 3, '10': 3, '11': 3, '12': 2, '13': 1, '16': 3}",A,article,"{'0': 3, '1': 3, '2': 2, '3': 1, '6': 3}"
480,278,1100,9ebe5f7247d700a07377ff6789eb8261e6b04d2b83d5b2f894b29bb12f5c27c4,SPA 3,Quiero ver muchos animales.,Quiero ver []{a}<az:do:an> muchos animales.,[]{a}<az:do:an>,az:do:an,a,,"['Quiero', 'ver', 'a', 'muchos', 'animales', '.']","['Quiero', 'ver', '[NONE]', 'muchos', 'animales', '.']","[2, 9]",article,"[0, 1, 4, 7, 8, 11]",Quiero ver a muchos animales.,Quiero ver [NONE] muchos animales.,article,"[0, 1, 4, 7, 8, 11]","{'1': 3, '2': 1, '3': 2, '8': 3, '9': 1, '10': 2}",A,article,"{'1': 3, '2': 1, '3': 2}"
366,143,486,64cc9abcb4ce00692d75a5de73b16df80a6c86eb363baf0cf87636065ca79f49,SPA 3,Muchos personas conocen Beyonce en el mundo.,Muchos personas conocen []{a}<az:do:an>  Beyonce en el mundo.,[]{a}<az:do:an>,az:do:an,a,,"['Muchos', 'personas', 'conocen', 'a', 'Beyonce', 'en', 'el', 'mundo', '.']","['Muchos', 'personas', 'conocen', '[NONE]', 'Beyonce', 'en', 'el', 'mundo', '.']","[3, 13]",article,"[2, 4, 12, 14]",Muchos personas conocen a Beyonce en el mundo.,Muchos personas conocen [NONE] Beyonce en el mundo.,article,"[2, 4, 12, 14]","{'1': 3, '2': 2, '3': 1, '6': 3, '11': 3, '12': 2, '13': 1, '16': 3}",A,article,"{'1': 3, '2': 2, '3': 1, '6': 3}"
280,42,184,5dfe2a8bd626b9e75e003b185a7c67868be87bdda085d0f9f8210982d50e882e,SPA 3,Él trajo el equipo a muchos campeonatos.,Él trajo []{a}<az:do:an> el equipo a muchos campeonatos.,[]{a}<az:do:an>,az:do:an,a,,"['Él', 'trajo', 'a', 'el', 'equipo', 'a', 'muchos', 'campeonatos', '.']","['Él', 'trajo', '[NONE]', 'el', 'equipo', 'a', 'muchos', 'campeonatos', '.']","[2, 12]",article,"[0, 1, 3, 4, 6, 7, 10, 11, 13, 14, 16, 17]",Él trajo a el equipo a muchos campeonatos.,Él trajo [NONE] el equipo a muchos campeonatos.,article,"[0, 1, 3, 4, 6, 7, 10, 11, 13, 14, 16, 17]","{'1': 3, '2': 1, '3': 2, '11': 3, '12': 1, '13': 2}",A,article,"{'1': 3, '2': 1, '3': 2}"
294,57,209,e2a950e3768970223b8adc85ae592d6bdf24e63507c6f5af0a6a54c55ccaf46c,SPA 3,Muchas personas dudaron Messi y sus habilidades.,Muchas personas dudaron []{a}<az:do:an> Messi y sus habilidades.,[]{a}<az:do:an>,az:do:an,a,,"['Muchas', 'personas', 'dudaron', 'a', 'Messi', 'y', 'sus', 'habilidades', '.']","['Muchas', 'personas', 'dudaron', '[NONE]', 'Messi', 'y', 'sus', 'habilidades', '.']","[3, 13]",article,"[0, 1, 2, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17]",Muchas personas dudaron a Messi y sus habilidades.,Muchas personas dudaron [NONE] Messi y sus habilidades.,article,"[0, 1, 2, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17]","{'1': 3, '2': 2, '3': 1, '4': 3, '5': 3, '6': 2, '11': 3, '12': 2, '13': 1, '14': 3, '15': 3, '16': 2}",A,article,"{'1': 3, '2': 2, '3': 1, '4': 3, '5': 3, '6': 2}"
286,48,191,628f00b24706007641d2ea198452a8b1aabb93f7322a48f4fe008e23ba275c7c,SPA 2,Yo nesisito conocer el antes yo muerto.,Yo nesisito conocer []{a}<az:do:an> el antes yo muerto.,[]{a}<az:do:an>,az:do:an,a,,"['Yo', 'nesisito', 'conocer', 'a', 'el', 'antes', 'yo', 'muerto', '.']","['Yo', 'nesisito', 'conocer', '[NONE]', 'el', 'antes', 'yo', 'muerto', '.']","[3, 13]",article,"[0, 2, 4, 10, 12, 14]",Yo nesisito conocer a el antes yo muerto.,Yo nesisito conocer [NONE] el antes yo muerto.,article,"[0, 2, 4, 10, 12, 14]","{'2': 3, '3': 1, '4': 3, '5': 2, '6': 3, '12': 3, '13': 1, '14': 3, '15': 2, '16': 3}",A,article,"{'2': 3, '3': 1, '4': 3, '5': 2, '6': 3}"
395,180,707,708eae62054a618a4e6e12d579582998fda45632cbc17f29eec3fa6bc468abe7,SPA 1,Entonces la gente empieza a conocer Kanye.,Entonces la gente empieza a conocer []{a}<az:do:an> Kanye.,[]{a}<az:do:an>,az:do:an,a,,"['Entonces', 'la', 'gente', 'empieza', 'a', 'conocer', 'a', 'Kanye', '.']","['Entonces', 'la', 'gente', 'empieza', 'a', 'conocer', '[NONE]', 'Kanye', '.']","[6, 16]",article,"[2, 3, 4, 5, 12, 13, 14, 15]",Entonces la gente empieza a conocer a Kanye.,Entonces la gente empieza a conocer [NONE] Kanye.,article,"[2, 3, 4, 5, 12, 13, 14, 15]","{'3': 3, '4': 3, '5': 2, '6': 1, '13': 3, '14': 3, '15': 2, '16': 1}",A,article,"{'3': 3, '4': 3, '5': 2, '6': 1}"
3062,909,918,9337a0b6ed3534078f6b53029aca81c53355d9e9abd50334c75b434fcb3f4ab3,SPA 1,Visito mi abuela y mis amigas.,Visito []{a}<az:do:an> mi abuela y []{a}<az:do:an> mis amigas.,[]{a}<az:do:an>,az:do:an,a,,"['Visito', 'a', 'mi', 'abuela', 'y', 'a', 'mis', 'amigas', '.']","['Visito', '[NONE]', 'mi', 'abuela', 'y', 'a', 'mis', 'amigas', '.']","[1, 11]",article,"[0, 2, 3, 4, 5, 6, 7, 10, 12, 13, 14, 15, 16, 17]",Visito a mi abuela y a mis amigas.,Visito [NONE] mi abuela y a mis amigas.,article,"[0, 2, 3, 4, 5, 6, 7, 10, 12, 13, 14, 15, 16, 17]","{'0': 3, '1': 1, '2': 2, '5': 3, '10': 3, '11': 1, '12': 2, '15': 3}",A,article,"{'0': 3, '1': 1, '2': 2, '5': 3}"
5173,5,653,158b36f69271602fc79b0f0bc839cd62fd4b1f0d0b8ec71b13f05f4a1814aa70,SPA 3,Voy a traducir Kim Jong Un.,Voy a traducir []{a}<az:do:an>  Kim Jong Un.,[]{a}<az:do:an>,az:do:an,a,,"['Voy', 'a', 'traducir', 'a', 'Kim', 'Jong', 'Un', '.']","['Voy', 'a', 'traducir', '[NONE]', 'Kim', 'Jong', 'Un', '.']","[3, 12]",article,"[0, 1, 2, 4, 5, 6, 9, 10, 11, 13, 14, 15]",Voy a traducir a Kim Jong Un.,Voy a traducir [NONE] Kim Jong Un.,article,"[0, 1, 2, 4, 5, 6, 9, 10, 11, 13, 14, 15]","{'0': 3, '1': 3, '2': 2, '3': 1, '4': 2, '5': 2, '9': 3, '10': 3, '11': 2, '12': 1, '13': 2, '14': 2}",A,article,"{'0': 3, '1': 3, '2': 2, '3': 1, '4': 2, '5': 2}"
429,219,852,06337089ec1d2c1079520ecbd9ab58fa4982e7b5d2493cdbe47b53030a4e7d22,SPA 3,Él adoptó dos hijos.,Él adoptó []{a}<az:do:an> dos hijos.,[]{a}<az:do:an>,az:do:an,a,,"['Él', 'adoptó', 'a', 'dos', 'hijos', '.']","['Él', 'adoptó', '[NONE]', 'dos', 'hijos', '.']","[2, 9]",article,"[0, 1, 3, 4, 5, 7, 8, 10, 11, 12]",Él adoptó a dos hijos.,Él adoptó [NONE] dos hijos.,article,"[0, 1, 3, 4, 5, 7, 8, 10, 11, 12]","{'1': 3, '2': 1, '3': 2, '8': 3, '9': 1, '10': 2}",A,article,"{'1': 3, '2': 1, '3': 2}"
341,114,355,2e527f405cef967c6062ef9ae7435fdcb371d625b0a374b41259af71a0a71834,SPA 1,"Luego, él entrevista su huésped.","Luego, él entrevista []{a}<az:do:an> su huésped.",[]{a}<az:do:an>,az:do:an,a,,"['Luego', ',', 'él', 'entrevista', 'a', 'su', 'huésped', '.']","['Luego', ',', 'él', 'entrevista', '[NONE]', 'su', 'huésped', '.']","[4, 13]",article,"[1, 2, 3, 5, 10, 11, 12, 14]","Luego, él entrevista a su huésped.","Luego, él entrevista [NONE] su huésped.",article,"[1, 2, 3, 5, 10, 11, 12, 14]","{'3': 3, '4': 1, '5': 2, '12': 3, '13': 1, '14': 2}",A,article,"{'3': 3, '4': 1, '5': 2}"
447,240,960,1a7655102928aa90c6de3c2e72ebf746b8be548ec429b8ad2b209e6828061d4b,SPA 2,Vamos a montar a muchos paseos allí.,Vamos a montar [a]{}<za:do:inan> muchos paseos allí.,[a]{}<za:do:inan>,za:do:inan,,a,"['Vamos', 'a', 'montar', '[NONE]', 'muchos', 'paseos', 'allí', '.']","['Vamos', 'a', 'montar', 'a', 'muchos', 'paseos', 'allí', '.']","[3, 12]",article,"[1, 2, 10, 11]",Vamos a montar [NONE] muchos paseos allí.,Vamos a montar a muchos paseos allí.,article,"[1, 2, 10, 11]","{'2': 3, '3': 1, '4': 3, '5': 2, '11': 3, '12': 1, '13': 3, '14': 2}",A,article,"{'2': 3, '3': 1, '4': 3, '5': 2}"
476,274,1096,e51280fbaecebc9f8e3fb6de53314981fe8453b7f779ac8f6a4a8bf83fd3afaf,SPA 2,Yo miro Mona Lisa.,Yo miro []{a}<az:do:an>  Mona Lisa.,[]{a}<az:do:an>,az:do:an,a,,"['Yo', 'miro', 'a', 'Mona', 'Lisa', '.']","['Yo', 'miro', '[NONE]', 'Mona', 'Lisa', '.']","[2, 9]",article,"[0, 1, 3, 4, 7, 8, 10, 11]",Yo miro a Mona Lisa.,Yo miro [NONE] Mona Lisa.,article,"[0, 1, 3, 4, 7, 8, 10, 11]","{'0': 3, '1': 2, '2': 1, '3': 2, '7': 3, '8': 2, '9': 1, '10': 2}",A,article,"{'0': 3, '1': 2, '2': 1, '3': 2}"
318,86,305,7a59eb6e99fc32646ab0b2436f4aa9847f8f8a656b7d6f09c23beb7910a8157e,SPA 3,Viaja a muchos países para ayudar otros.,Viaja a muchos países para ayudar []{a}<az:do:an> otros.,[]{a}<az:do:an>,az:do:an,a,,"['Viaja', 'a', 'muchos', 'países', 'para', 'ayudar', 'a', 'otros', '.']","['Viaja', 'a', 'muchos', 'países', 'para', 'ayudar', '[NONE]', 'otros', '.']","[6, 16]",article,"[0, 1, 2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 17]",Viaja a muchos países para ayudar a otros.,Viaja a muchos países para ayudar [NONE] otros.,article,"[0, 1, 2, 3, 4, 5, 7, 10, 11, 12, 13, 14, 15, 17]","{'0': 3, '4': 3, '5': 2, '6': 1, '10': 3, '14': 3, '15': 2, '16': 1}",A,article,"{'0': 3, '4': 3, '5': 2, '6': 1}"
27,309,1178,f746419b70c3b8b78e5d99013182b5115c1fb67aeb4671edeb278db4903f666d,SPA 3,Nosotros visitaríamos mi novia's familia.,Nosotros visitaríamos []{a}<az:do:an> mi novia's familia.,[]{a}<az:do:an>,az:do:an,a,,"['Nosotros', 'visitaríamos', 'a', 'mi', 'novia', ""'"", 's', 'familia', '.']","['Nosotros', 'visitaríamos', '[NONE]', 'mi', 'novia', ""'"", 's', 'familia', '.']","[2, 12]",article,"[0, 1, 3, 4, 5, 6, 7, 10, 11, 13, 14, 15, 16, 17]",Nosotros visitaríamos a mi novia' s familia.,Nosotros visitaríamos [NONE] mi novia' s familia.,article,"[0, 1, 3, 4, 5, 6, 7, 10, 11, 13, 14, 15, 16, 17]","{'1': 3, '2': 1, '3': 2, '11': 3, '12': 1, '13': 2}",A,article,"{'1': 3, '2': 1, '3': 2}"
483,282,1103,155bcd74624423f890cc465b58eb8d442e792188f934f24edd8b4d0c38850230,SPA 2,Quiero ver los canguros y los koalas.,Quiero ver []{a}<az:do:an> los canguros y los koalas.,[]{a}<az:do:an>,az:do:an,a,,"['Quiero', 'ver', 'a', 'los', 'canguros', 'y', 'los', 'koalas', '.']","['Quiero', 'ver', '[NONE]', 'los', 'canguros', 'y', 'los', 'koalas', '.']","[2, 12]",article,"[0, 1, 3, 4, 5, 6, 7, 10, 11, 13, 14, 15, 16, 17]",Quiero ver a los canguros y los koalas.,Quiero ver [NONE] los canguros y los koalas.,article,"[0, 1, 3, 4, 5, 6, 7, 10, 11, 13, 14, 15, 16, 17]","{'1': 3, '2': 1, '3': 2, '6': 3, '11': 3, '12': 1, '13': 2, '16': 3}",A,article,"{'1': 3, '2': 1, '3': 2, '6': 3}"
302,67,253,937b57e9b5bd3e6d2df99c17d5f584916fd438fd0130391464134e823ae6812f,SPA 2,Daniel también actúa a las obras de teatro.,Daniel también actúa [a]{}<za:do:an> las obras de teatro.,[a]{}<za:do:an>,za:do:an,,a,"['Daniel', 'también', 'actúa', '[NONE]', 'las', 'obras', 'de', 'teatro', '.']","['Daniel', 'también', 'actúa', 'a', 'las', 'obras', 'de', 'teatro', '.']","[3, 13]",article,"[2, 4, 12, 14]",Daniel también actúa [NONE] las obras de teatro.,Daniel también actúa a las obras de teatro.,article,"[2, 4, 12, 14]","{'2': 3, '3': 1, '4': 3, '5': 2, '7': 3, '12': 3, '13': 1, '14': 3, '15': 2, '17': 3}",A,article,"{'2': 3, '3': 1, '4': 3, '5': 2, '7': 3}"
367,144,486,02244202c8bfeb279ae52943b0bf69103ab1aa63a7188c12b0860ce42345dde9,SPA 3,Yo no miro ella en los conciertos.,Yo no miro []{a}<az:do:an>  ella en los conciertos.,[]{a}<az:do:an>,az:do:an,a,,"['Yo', 'no', 'miro', 'a', 'ella', 'en', 'los', 'conciertos', '.']","['Yo', 'no', 'miro', '[NONE]', 'ella', 'en', 'los', 'conciertos', '.']","[3, 13]",article,"[0, 2, 4, 5, 6, 7, 10, 12, 14, 15, 16, 17]",Yo no miro a ella en los conciertos.,Yo no miro [NONE] ella en los conciertos.,article,"[0, 2, 4, 5, 6, 7, 10, 12, 14, 15, 16, 17]","{'0': 3, '1': 3, '2': 2, '3': 1, '6': 3, '10': 3, '11': 3, '12': 2, '13': 1, '16': 3}",A,article,"{'0': 3, '1': 3, '2': 2, '3': 1, '6': 3}"
394,179,704,d4eddf39a8cd69ecd0b36253c3cfb62c1d6dca40f11b74c5bf86c9932418872d,SPA 2,Yo quiero conocer Kobe Bryant.,Yo quiero conocer []{a}<az:do:an> Kobe Bryant.,[]{a}<az:do:an>,az:do:an,a,,"['Yo', 'quiero', 'conocer', 'a', 'Kobe', 'Bryant', '.']","['Yo', 'quiero', 'conocer', '[NONE]', 'Kobe', 'Bryant', '.']","[3, 11]",article,"[1, 2, 4, 5, 9, 10, 12, 13]",Yo quiero conocer a Kobe Bryant.,Yo quiero conocer [NONE] Kobe Bryant.,article,"[1, 2, 4, 5, 9, 10, 12, 13]","{'1': 3, '2': 2, '3': 1, '4': 2, '9': 3, '10': 2, '11': 1, '12': 2}",A,article,"{'1': 3, '2': 2, '3': 1, '4': 2}"
438,229,940,70bcc40ea4add4a8c76b17745eaf56188f6153c0fb931328d37f18c5f3bf97e8,SPA 2,Después yo veo Los Chargers.,Después yo veo []{a}<az:do:an> Los Chargers.,[]{a}<az:do:an>,az:do:an,a,,"['Después', 'yo', 'veo', 'a', 'Los', 'Chargers', '.']","['Después', 'yo', 'veo', '[NONE]', 'Los', 'Chargers', '.']","[3, 11]",article,"[0, 2, 4, 5, 8, 10, 12, 13]",Después yo veo a Los Chargers.,Después yo veo [NONE] Los Chargers.,article,"[0, 2, 4, 5, 8, 10, 12, 13]","{'2': 3, '3': 1, '4': 2, '10': 3, '11': 1, '12': 2}",A,article,"{'2': 3, '3': 1, '4': 2}"
288,50,194,15fbad19d6638c3d0c71cba217c2484df24b065e20a2bdfc0c21e22da7b2569c,SPA 3,Él ayuda a los pobres y enfermos.,Él ayuda   los pobres y  []{a}<az:do:an> enfermos.,[]{a}<az:do:an>,az:do:an,a,,"['Él', 'ayuda', 'los', 'pobres', 'y', 'a', 'enfermos', '.']","['Él', 'ayuda', 'los', 'pobres', 'y', '[NONE]', 'enfermos', '.']","[5, 14]",article,"[0, 1, 2, 3, 4, 6, 9, 10, 11, 12, 13, 15]",Él ayuda los pobres y a enfermos.,Él ayuda los pobres y [NONE] enfermos.,article,"[0, 1, 2, 3, 4, 6, 9, 10, 11, 12, 13, 15]","{'4': 3, '5': 1, '6': 2, '13': 3, '14': 1, '15': 2}",A,article,"{'4': 3, '5': 1, '6': 2}"
475,273,1091,7f817c6c372c424535108d9806d2f941eb1e8b75f21e6826b9e51d2c8fddcefe,SPA 3,Yo iría a ver todos los animales.,Yo iría a ver []{a}<az:do:an> todos los animales.,[]{a}<az:do:an>,az:do:an,a,,"['Yo', 'iría', 'a', 'ver', 'a', 'todos', 'los', 'animales', '.']","['Yo', 'iría', 'a', 'ver', '[NONE]', 'todos', 'los', 'animales', '.']","[4, 14]",article,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18]",Yo iría a ver a todos los animales.,Yo iría a ver [NONE] todos los animales.,article,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18]","{'4': 1, '5': 2, '6': 3, '14': 1, '15': 2, '16': 3}",A,article,"{'4': 1, '5': 2, '6': 3}"
3159,1012,81,f3827ac959d5924bb21a4f6e20ec81fa644e789b35109958380545107907c274,SPA 1,El pelicula es muy comico.,[El]{la}<ga:fm:det:inan> pelicula es muy [comico]{cómica}<ga:fm:adj:inan>.,[El]{la}<ga:fm:det:inan>,ga:fm:det:inan,la,El,"['la', 'pelicula', 'es', 'muy', 'cómica', '.']","['El', 'pelicula', 'es', 'muy', 'cómica', '.']","[0, 7]",gender agreement,"[1, 8]",la pelicula es muy cómica.,El pelicula es muy cómica.,gender agreement,"[1, 8]","{'0': 1, '1': 2, '4': 3, '7': 1, '8': 2, '11': 3}",A,gender agreement,"{'0': 1, '1': 2, '4': 3}"
3280,92,183,824f1cb01da8ff24b2417682617f2bf2006a39c4d92a8d68934f8cffd273b23b,SPA 3,"Oprah es un actor, entrevistador y productor.","Oprah es un [actor]{actriz}<ga:fm:noun:an>, [entrevistador]{entrevistadora}<ga:fm:noun:an> y [productor]{productora}<ga:fm:noun:an>.",[actor]{actriz}<ga:fm:noun:an>,ga:fm:noun:an,actriz,actor,"['Oprah', 'es', 'un', 'actriz', ',', 'entrevistadora', 'y', 'productora', '.']","['Oprah', 'es', 'un', 'actor', ',', 'entrevistadora', 'y', 'productora', '.']","[3, 13]",gender agreement,"[0, 2, 10, 12]","Oprah es un actriz, entrevistadora y productora.","Oprah es un actor, entrevistadora y productora.",gender agreement,"[0, 2, 10, 12]","{'0': 2, '1': 2, '2': 2, '3': 1, '5': 2, '7': 3, '10': 2, '11': 2, '12': 2, '13': 1, '15': 2, '17': 3}",A,gender agreement,"{'0': 2, '1': 2, '2': 2, '3': 1, '5': 2, '7': 3}"
